
AudioPlayTime(ms),AudioPlayTime(DateTime),isInDirectionTrigger,DirectionTriggerName,isInLandmarkTrigger,LandmarkTriggerName
63852252466342,5/25/2024 4:47:46 PM,True,Trigger1,True,LandmarkTrigger1
63852252469521,5/25/2024 4:47:49 PM,True,Trigger1,True,LandmarkTrigger1
63852252473657,5/25/2024 4:47:53 PM,True,Trigger1,True,LandmarkTrigger1
63852252477912,5/25/2024 4:47:57 PM,True,Trigger1,True,LandmarkTrigger1
63852252481266,5/25/2024 4:48:01 PM,True,Trigger1,True,LandmarkTrigger1
63852252484309,5/25/2024 4:48:04 PM,True,Trigger1,True,LandmarkTrigger1
63852252488522,5/25/2024 4:48:08 PM,True,Trigger1,True,LandmarkTrigger1
63852252493110,5/25/2024 4:48:13 PM,True,Trigger1,True,LandmarkTrigger1
63852252497143,5/25/2024 4:48:17 PM,True,Trigger1,True,LandmarkTrigger1
63852252500742,5/25/2024 4:48:20 PM,True,Trigger1,True,LandmarkTrigger1
63852252504898,5/25/2024 4:48:24 PM,True,Trigger1,True,LandmarkTrigger1
63852252508342,5/25/2024 4:48:28 PM,True,Trigger1,True,LandmarkTrigger1
63852252512731,5/25/2024 4:48:32 PM,True,Trigger1,True,LandmarkTrigger1
63852252516343,5/25/2024 4:48:36 PM,True,Trigger1,True,LandmarkTrigger1
63852252520765,5/25/2024 4:48:40 PM,True,Trigger1,True,LandmarkTrigger1
63852252524154,5/25/2024 4:48:44 PM,True,Trigger1,True,LandmarkTrigger1
63852252527753,5/25/2024 4:48:47 PM,True,Trigger1,True,LandmarkTrigger1
63852252531853,5/25/2024 4:48:51 PM,True,Trigger1,True,LandmarkTrigger1
63852252536743,5/25/2024 4:48:56 PM,True,Trigger1,True,LandmarkTrigger1
63852252539776,5/25/2024 4:48:59 PM,True,Trigger1,True,LandmarkTrigger1
63852252544354,5/25/2024 4:49:04 PM,True,Trigger1,True,LandmarkTrigger1
63852252547397,5/25/2024 4:49:07 PM,True,Trigger1,True,LandmarkTrigger1
63852252551931,5/25/2024 4:49:11 PM,True,Trigger1,True,LandmarkTrigger1
63852252556876,5/25/2024 4:49:16 PM,True,Trigger1,True,LandmarkTrigger1
63852252560975,5/25/2024 4:49:20 PM,True,Trigger1,True,LandmarkTrigger1
63852252564143,5/25/2024 4:49:24 PM,True,Trigger1,True,LandmarkTrigger1
63852252568554,5/25/2024 4:49:28 PM,True,Trigger1,True,LandmarkTrigger1
